titles,links,content,time,media
總統大選》倒數48小時　蔡英文親自催票,https://news.ltn.com.tw/news/politics/breakingnews/591767,〔記者陳慧萍／桃園報導〕民進黨總統候選人蔡英文今天上午在桃園楊梅掃街前發表談話指出，大選剩下不到48小時，這次總統大選結果差距可能非常小，每一張選票都是關鍵，呼籲在外地求學、工作的遊子一定要返鄉投票，「...,2012/1/12 13:01,Liberal Times
總統大選》竹縣拜票　蘇嘉全預期客家票大幅成長,https://news.ltn.com.tw/news/politics/breakingnews/591735,〔記者蔡孟尚／竹縣報導〕民進黨總統候選人蔡英文昨晚在新竹縣參加造勢晚會，副總統候選人蘇嘉全今天上午也緊接著到新竹縣率車隊遊行拜票﹔蘇嘉全說，他充分感受到客家鄉親的熱情，也預期這次民進黨的客家票會大幅成長...,2012/1/12 12:02,Liberal Times
總統大選》網友KUSO改圖　蔡英文超萌,https://news.ltn.com.tw/news/politics/breakingnews/591654,"以「那些年，我們一起選的總統」為題在網路上轉貼，更有人將圖改版，將3人換上前衛的髮型，只見蔡英文搖身一變成為帶有叛逆氣息的淘氣姑娘，許多網友直呼「小英好萌！」

　總統大選將近，網路上不斷有3位候選...",2012/1/12 9:17,Liberal Times
大聯合政府讚,https://news.ltn.com.tw/news/opinion/paper/553742,"蔡英文拋出大聯合政府主張，顯然讓馬英九感到驚訝莫名，氣急敗壞，因此全黨上下對這個選舉以來最有牛肉的政見，展開情緒性的攻擊，可見此舉已經打中馬陣營的要害。
前副總統連戰甚至跳出來當急先鋒，批判此舉違憲，...",2012/1/12,Liberal Times
3總統選將「個性劍獅」小英築夢實事求是,https://news.ltn.com.tw/news/local/paper/553738,"最引人矚目的是，對應農曆生日的「劍獅守護神」。昨日業者公開這項規劃近一年的商品，並挑出包括蔡英文、馬英九、宋楚瑜三位總統候選人的對應劍獅、分析每個人的個性。
馬保守秘密 宋沈默銳利
其中一號蔡英...",2012/1/12,Liberal Times
《好巧，都是1號！》綠軍3苦戰區 小英順風拉1把,https://news.ltn.com.tw/news/local/paper/553728,"〔記者侯承旭／高雄報導〕民進黨高雄市三個艱困立委選區，選將恰巧都抽中一號，與蔡英文的號次相同，可望搭上小英順風車。
邱議瑩、邱志偉、林瑩蓉 號次令人羨慕
高市區域立委共九個選區，民進黨評估有三個選區...",2012/1/12,Liberal Times
屏東大團結 綠拚立委衝衝衝,https://news.ltn.com.tw/news/local/paper/553722,"，內政敗壞、外交休克、軍紀廢弛，不但要讓馬英九下台，國會也要過半，希望屏東鄉親共同來牽成，蔡英文抵達會場時擠爆媽祖廟前道路，現場高呼「屏東大團結，團結出總統」。
造勢晚會在屏東市永福路舉行，超過五萬人...",2012/1/12,Liberal Times
姚文智拚小豬遊行 周守訓找藝人造勢,https://news.ltn.com.tw/news/local/paper/553685,"。
市議員林世宗表示，國民黨治國沒半步，選舉全奧步，選民要堅持到最後，用最大的熱情繼續幫蔡英文、姚文智拉票；梁文傑指出，士林大同區是民進黨在台北市的關鍵選區，呼籲選民「蔡英文一票，姚文智一票」...",2012/1/12,Liberal Times
藍綠爭吃橘 李建昌蔡正元搶攻黃珊珊票源,https://news.ltn.com.tw/news/local/paper/553683,"眷村鐵票區，盼泛藍選票「鮭魚回流」；李建昌指對手「大藍小藍都是藍」，唯有支持李建昌才會力挺蔡英文，黃珊珊說藍綠的說法顯示他們的基本盤鬆動，才會想挖橘營的票。
藍、綠、橘各陣營強力動員，蔡正元總部以音樂...",2012/1/12,Liberal Times
對國民黨失望 南方朔決挺蔡,https://news.ltn.com.tw/news/focus/paper/553670,"決定「挺蔡不挺馬」。
馬吳配與國民黨陣營近來頻打兩岸安定牌與恐嚇牌，批評民進黨總統候選人蔡英文不承認九二共識，就是打破這三年多來台海和平穩定的現狀，如此一定會為台灣帶來危險。
南方朔則不贊同這樣的論...",2012/1/12,Liberal Times
